Tauo,Tauu,Taud,Xo_Probability,Xu_Probability
-0.8,-0.6,-0.2,1.0,1.0
-0.5,-0.4,-0.1,1.0,1.0
-0.05,-0.05,-0.01,1.0,1.0
-0.05,-0.5,-0.01,1.0,1.0
0.05,0.05,0.01,0.999666690826416,1.0
0.1,0.2,0.1,1.0,1.0
0.2,0.4,0.2,1.0,0.8946666717529297
0.4,0.5,0.3,1.0,1.0
0.6,0.8,0.5,1.0,1.0
